12.621,15.372,30.707,9.8675,15.301
12.34,15.537,30.039,9.8098,15.153
12.044,15.724,29.555,9.9678,14.993
12.028,15.95,29.429,9.7844,14.93
11.689,16.172,29.224,9.6984,14.948
11.49,16.156,29.124,9.6354,14.788
11.524,16.302,28.973,9.5446,14.639
11.645,16.745,29.047,9.4688,14.546
11.445,17.021,28.62,9.4941,14.687
11.36,17.37,28.081,9.6248,14.633
11.095,17.198,27.578,9.7189,14.507
11.006,17.31,27.425,9.6461,14.579
10.901,17.309,27.221,9.5304,14.418
10.666,17.753,26.387,9.6839,14.393
10.446,17.837,26.299,9.7144,14.433
10.491,17.875,25.456,9.7372,14.212
10.157,18.06,25.093,9.7257,14.398
10.111,18.352,24.976,9.6696,14.121
9.8592,18.525,24.721,9.614,14.087
9.7465,18.667,24.73,9.7759,14.053
9.4524,18.708,24.199,9.737,13.998
9.3695,19.197,23.605,9.7621,13.612
9.0387,18.946,23.628,9.7269,13.607
8.9382,19.002,23.802,9.7269,13.634
8.7914,19.124,24.046,9.7769,13.629
8.7392,19.251,23.554,9.7003,13.51
8.4377,19.541,23.523,9.6843,13.305
8.2151,20.06,23.215,9.6518,13.3
8.1334,20.293,22.841,9.6583,13.226
8.1077,20.419,22.713,9.6315,13.285
7.9453,20.605,21.977,9.6464,13.169
7.6825,20.724,21.758,9.7482,13.223
7.5794,20.868,21.371,9.7896,13.302
7.324,20.955,21.403,9.8047,13.087
7.1132,21.447,21.015,9.78,13.03
6.9134,21.173,20.863,9.6948,12.88
