10.201,40.018,24.144,19.245,36.1
10.288,39.544,23.443,19.114,36.323
10.279,38.911,22.652,19.283,36.586
10.418,38.568,22.367,19.168,36.88
10.354,37.684,22.023,19.092,37.49
10.371,36.943,21.621,18.992,38.263
10.443,37.068,21.131,18.822,37.696
10.443,36.538,20.964,18.657,37.619
10.489,35.737,20.716,18.416,37.906
10.326,34.937,20.408,18.337,38.294
10.319,34.416,20.376,18.493,38.113
10.263,33.545,20.086,18.617,38.81
10.202,33.225,19.622,18.927,39.856
10.125,32.881,19.417,19.052,39.442
10.125,32.71,19.002,19.235,39.513
10.134,32.135,18.671,19.268,39.959
10.166,31.54,18.259,19.403,39.899
10.323,31.062,17.914,19.512,40.071
10.222,31.013,17.986,19.558,40.358
10.172,30.665,17.573,19.494,41.032
10.102,29.864,17.437,19.36,40.868
10.251,29.451,17.092,19.612,41.555
10.167,28.968,16.791,19.595,41.378
10.259,27.934,16.506,19.406,40.667
10.209,27.202,16.612,19.387,40.841
10.119,26.782,16.014,19.385,41.203
10.092,26.263,15.666,19.23,41.001
9.9846,25.57,15.248,19.327,41.23
10.025,25.074,14.563,19.565,41.323
10.091,24.594,14.421,19.765,41.727
10.123,24.217,14.079,19.647,41.564
10.244,24.228,13.729,19.792,41.858
10.173,24.307,13.666,19.886,42.722
9.9787,23.949,13.52,19.698,43.229
9.9251,23.192,13.417,19.379,43.972
9.97,23.265,13.151,19.118,44.665
